x,y,frame
1247,153,0
947,411,1
946,411,2
947,412,3
947,411,4
948,411,5
946,412,6
944,412,7
934,412,8
920,409,9
903,408,10
885,404,11
866,402,12
846,399,13
823,396,14
802,393,15
781,390,16
764,387,17
746,384,18
730,382,19
711,379,20
698,376,21
683,374,22
668,371,23
653,368,24
641,367,25
627,364,26
615,362,27
606,360,28
602,361,29
598,361,30
593,361,31
588,361,32
582,361,33
570,360,34
561,360,35
551,360,36
542,360,37
532,359,38
522,358,39
513,357,40
505,357,41
496,356,42
487,355,43
480,354,44
474,354,45
464,353,46
461,354,47
453,354,48
443,354,49
433,354,50
426,354,51
420,355,52
407,355,53
399,356,54
390,356,55
381,357,56
369,358,57
361,358,58
348,359,59
337,360,60
332,360,61
324,361,62
316,362,63
307,362,64
299,363,65
290,363,66
283,364,67
278,366,68
271,367,69
262,370,70
258,371,71
249,373,72
244,374,73
237,376,74
231,378,75
226,380,76
221,382,77
216,384,78
209,388,79
202,391,80
195,394,81
190,396,82
186,398,83
186,398,84
188,398,85
186,399,86
187,399,87
184,401,88
187,400,89
187,400,90
188,400,91
188,400,92
187,401,93
188,400,94
187,401,95
186,401,96
188,401,97
187,401,98
187,400,99
188,401,100
189,401,101
188,401,102
188,401,103
190,401,104
186,403,105
181,408,106
180,413,107
178,418,108
176,422,109
176,425,110
177,427,111
175,431,112
178,434,113
181,437,114
185,442,115
189,446,116
194,452,117
198,455,118
204,462,119
208,468,120
215,474,121
220,480,122
229,483,123
249,484,124
265,483,125
278,483,126
292,483,127
303,483,128
314,481,129
323,477,130
344,472,131
366,466,132
384,461,133
405,459,134
421,458,135
433,458,136
453,459,137
464,458,138
485,459,139
494,458,140
506,458,141
516,458,142
526,459,143
541,458,144
551,457,145
560,457,146
570,457,147
575,456,148
585,456,149
590,456,150
597,456,151
609,452,152
621,446,153
636,442,154
652,439,155
667,434,156
678,431,157
692,428,158
701,427,159
719,422,160
730,420,161
746,418,162
757,416,163
774,413,164
781,412,165
792,411,166
804,410,167
817,408,168
828,406,169
837,405,170
844,404,171
855,403,172
863,402,173
871,402,174
879,401,175
887,401,176
895,401,177
904,401,178
911,400,179
916,400,180
922,399,181
929,399,182
935,398,183
939,398,184
946,397,185
951,396,186
958,396,187
962,395,188
972,394,189
979,393,190
986,392,191
994,391,192
1002,390,193
1007,389,194
1015,388,195
1020,387,196
1026,386,197
1034,384,198
1040,382,199
1044,381,200
1050,379,201
1054,379,202
1059,378,203
1065,377,204
1071,376,205
1075,374,206
1080,373,207
1085,372,208
1087,371,209
1090,369,210
1095,367,211
1101,365,212
1105,363,213
1108,360,214
1108,357,215
1110,352,216
1112,345,217
