x,y,frame,yflip,dx,dy
1247.0,153.0,0.0,567.0,,
1096.5,282.0,1.0,438.0,,
946.0,411.0,2.0,309.0,,
947.0,412.0,3.0,308.0,1.0,1.0
947.0,411.0,4.0,309.0,0.0,-1.0
948.0,411.0,5.0,309.0,1.0,0.0
946.0,412.0,6.0,308.0,-2.0,1.0
944.0,412.0,7.0,308.0,-2.0,0.0
934.0,412.0,8.0,308.0,-10.0,0.0
920.0,409.0,9.0,311.0,-14.0,-3.0
903.0,408.0,10.0,312.0,-17.0,-1.0
885.0,404.0,11.0,316.0,-18.0,-4.0
866.0,402.0,12.0,318.0,-19.0,-2.0
846.0,399.0,13.0,321.0,-20.0,-3.0
823.0,396.0,14.0,324.0,-23.0,-3.0
802.0,393.0,15.0,327.0,-21.0,-3.0
781.0,390.0,16.0,330.0,-21.0,-3.0
764.0,387.0,17.0,333.0,-17.0,-3.0
746.0,384.0,18.0,336.0,-18.0,-3.0
730.0,382.0,19.0,338.0,-16.0,-2.0
711.0,379.0,20.0,341.0,-19.0,-3.0
698.0,376.0,21.0,344.0,-13.0,-3.0
683.0,374.0,22.0,346.0,-15.0,-2.0
668.0,371.0,23.0,349.0,-15.0,-3.0
653.0,368.0,24.0,352.0,-15.0,-3.0
641.0,367.0,25.0,353.0,-12.0,-1.0
627.0,364.0,26.0,356.0,-14.0,-3.0
615.0,362.0,27.0,358.0,-12.0,-2.0
606.0,360.0,28.0,360.0,-9.0,-2.0
602.0,361.0,29.0,359.0,-4.0,1.0
598.0,361.0,30.0,359.0,-4.0,0.0
593.0,361.0,31.0,359.0,-5.0,0.0
588.0,361.0,32.0,359.0,-5.0,0.0
582.0,361.0,33.0,359.0,-6.0,0.0
570.0,360.0,34.0,360.0,-12.0,-1.0
561.0,360.0,35.0,360.0,-9.0,0.0
551.0,360.0,36.0,360.0,-10.0,0.0
542.0,360.0,37.0,360.0,-9.0,0.0
532.0,359.0,38.0,361.0,-10.0,-1.0
522.0,358.0,39.0,362.0,-10.0,-1.0
513.0,357.0,40.0,363.0,-9.0,-1.0
505.0,357.0,41.0,363.0,-8.0,0.0
496.0,356.0,42.0,364.0,-9.0,-1.0
487.0,355.0,43.0,365.0,-9.0,-1.0
480.0,354.0,44.0,366.0,-7.0,-1.0
474.0,354.0,45.0,366.0,-6.0,0.0
464.0,353.0,46.0,367.0,-10.0,-1.0
461.0,354.0,47.0,366.0,-3.0,1.0
453.0,354.0,48.0,366.0,-8.0,0.0
443.0,354.0,49.0,366.0,-10.0,0.0
433.0,354.0,50.0,366.0,-10.0,0.0
426.0,354.0,51.0,366.0,-7.0,0.0
420.0,355.0,52.0,365.0,-6.0,1.0
407.0,355.0,53.0,365.0,-13.0,0.0
399.0,356.0,54.0,364.0,-8.0,1.0
390.0,356.0,55.0,364.0,-9.0,0.0
381.0,357.0,56.0,363.0,-9.0,1.0
369.0,358.0,57.0,362.0,-12.0,1.0
361.0,358.0,58.0,362.0,-8.0,0.0
348.0,359.0,59.0,361.0,-13.0,1.0
337.0,360.0,60.0,360.0,-11.0,1.0
332.0,360.0,61.0,360.0,-5.0,0.0
324.0,361.0,62.0,359.0,-8.0,1.0
316.0,362.0,63.0,358.0,-8.0,1.0
307.0,362.0,64.0,358.0,-9.0,0.0
299.0,363.0,65.0,357.0,-8.0,1.0
290.0,363.0,66.0,357.0,-9.0,0.0
283.0,364.0,67.0,356.0,-7.0,1.0
278.0,366.0,68.0,354.0,-5.0,2.0
271.0,367.0,69.0,353.0,-7.0,1.0
262.0,370.0,70.0,350.0,-9.0,3.0
258.0,371.0,71.0,349.0,-4.0,1.0
249.0,373.0,72.0,347.0,-9.0,2.0
244.0,374.0,73.0,346.0,-5.0,1.0
237.0,376.0,74.0,344.0,-7.0,2.0
231.0,378.0,75.0,342.0,-6.0,2.0
226.0,380.0,76.0,340.0,-5.0,2.0
221.0,382.0,77.0,338.0,-5.0,2.0
216.0,384.0,78.0,336.0,-5.0,2.0
209.0,388.0,79.0,332.0,-7.0,4.0
202.0,391.0,80.0,329.0,-7.0,3.0
195.0,394.0,81.0,326.0,-7.0,3.0
190.0,396.0,82.0,324.0,-5.0,2.0
186.0,398.0,83.0,322.0,-4.0,2.0
186.0,398.0,84.0,322.0,0.0,0.0
188.0,398.0,85.0,322.0,2.0,0.0
186.0,399.0,86.0,321.0,-2.0,1.0
187.0,399.0,87.0,321.0,1.0,0.0
184.0,401.0,88.0,319.0,-3.0,2.0
187.0,400.0,89.0,320.0,3.0,-1.0
187.0,400.0,90.0,320.0,0.0,0.0
188.0,400.0,91.0,320.0,1.0,0.0
188.0,400.0,92.0,320.0,0.0,0.0
187.0,401.0,93.0,319.0,-1.0,1.0
188.0,400.0,94.0,320.0,1.0,-1.0
187.0,401.0,95.0,319.0,-1.0,1.0
186.0,401.0,96.0,319.0,-1.0,0.0
188.0,401.0,97.0,319.0,2.0,0.0
187.0,401.0,98.0,319.0,-1.0,0.0
187.0,400.0,99.0,320.0,0.0,-1.0
188.0,401.0,100.0,319.0,1.0,1.0
189.0,401.0,101.0,319.0,1.0,0.0
188.0,401.0,102.0,319.0,-1.0,0.0
188.0,401.0,103.0,319.0,0.0,0.0
190.0,401.0,104.0,319.0,2.0,0.0
186.0,403.0,105.0,317.0,-4.0,2.0
181.0,408.0,106.0,312.0,-5.0,5.0
180.0,413.0,107.0,307.0,-1.0,5.0
178.0,418.0,108.0,302.0,-2.0,5.0
176.0,422.0,109.0,298.0,-2.0,4.0
176.0,425.0,110.0,295.0,0.0,3.0
177.0,427.0,111.0,293.0,1.0,2.0
175.0,431.0,112.0,289.0,-2.0,4.0
178.0,434.0,113.0,286.0,3.0,3.0
181.0,437.0,114.0,283.0,3.0,3.0
185.0,442.0,115.0,278.0,4.0,5.0
189.0,446.0,116.0,274.0,4.0,4.0
194.0,452.0,117.0,268.0,5.0,6.0
198.0,455.0,118.0,265.0,4.0,3.0
204.0,462.0,119.0,258.0,6.0,7.0
208.0,468.0,120.0,252.0,4.0,6.0
215.0,474.0,121.0,246.0,7.0,6.0
220.0,480.0,122.0,240.0,5.0,6.0
229.0,483.0,123.0,237.0,9.0,3.0
249.0,484.0,124.0,236.0,20.0,1.0
265.0,483.0,125.0,237.0,16.0,-1.0
278.0,483.0,126.0,237.0,13.0,0.0
292.0,483.0,127.0,237.0,14.0,0.0
303.0,483.0,128.0,237.0,11.0,0.0
314.0,481.0,129.0,239.0,11.0,-2.0
323.0,477.0,130.0,243.0,9.0,-4.0
344.0,472.0,131.0,248.0,21.0,-5.0
366.0,466.0,132.0,254.0,22.0,-6.0
384.0,461.0,133.0,259.0,18.0,-5.0
405.0,459.0,134.0,261.0,21.0,-2.0
421.0,458.0,135.0,262.0,16.0,-1.0
433.0,458.0,136.0,262.0,12.0,0.0
453.0,459.0,137.0,261.0,20.0,1.0
464.0,458.0,138.0,262.0,11.0,-1.0
485.0,459.0,139.0,261.0,21.0,1.0
494.0,458.0,140.0,262.0,9.0,-1.0
506.0,458.0,141.0,262.0,12.0,0.0
516.0,458.0,142.0,262.0,10.0,0.0
526.0,459.0,143.0,261.0,10.0,1.0
541.0,458.0,144.0,262.0,15.0,-1.0
551.0,457.0,145.0,263.0,10.0,-1.0
560.0,457.0,146.0,263.0,9.0,0.0
570.0,457.0,147.0,263.0,10.0,0.0
575.0,456.0,148.0,264.0,5.0,-1.0
585.0,456.0,149.0,264.0,10.0,0.0
590.0,456.0,150.0,264.0,5.0,0.0
597.0,456.0,151.0,264.0,7.0,0.0
609.0,452.0,152.0,268.0,12.0,-4.0
621.0,446.0,153.0,274.0,12.0,-6.0
636.0,442.0,154.0,278.0,15.0,-4.0
652.0,439.0,155.0,281.0,16.0,-3.0
667.0,434.0,156.0,286.0,15.0,-5.0
678.0,431.0,157.0,289.0,11.0,-3.0
692.0,428.0,158.0,292.0,14.0,-3.0
701.0,427.0,159.0,293.0,9.0,-1.0
719.0,422.0,160.0,298.0,18.0,-5.0
730.0,420.0,161.0,300.0,11.0,-2.0
746.0,418.0,162.0,302.0,16.0,-2.0
757.0,416.0,163.0,304.0,11.0,-2.0
774.0,413.0,164.0,307.0,17.0,-3.0
781.0,412.0,165.0,308.0,7.0,-1.0
792.0,411.0,166.0,309.0,11.0,-1.0
804.0,410.0,167.0,310.0,12.0,-1.0
817.0,408.0,168.0,312.0,13.0,-2.0
828.0,406.0,169.0,314.0,11.0,-2.0
837.0,405.0,170.0,315.0,9.0,-1.0
844.0,404.0,171.0,316.0,7.0,-1.0
855.0,403.0,172.0,317.0,11.0,-1.0
863.0,402.0,173.0,318.0,8.0,-1.0
871.0,402.0,174.0,318.0,8.0,0.0
879.0,401.0,175.0,319.0,8.0,-1.0
887.0,401.0,176.0,319.0,8.0,0.0
895.0,401.0,177.0,319.0,8.0,0.0
904.0,401.0,178.0,319.0,9.0,0.0
