,x,y,frame,yflip,dx,dy,zone
0,1247.0,153.0,0.0,567.0,,,RightScreen
1,1096.5,282.0,1.0,438.0,,,RightScreen
2,946.0,411.0,2.0,309.0,,,RightScreen
3,947.0,412.0,3.0,308.0,1.0,1.0,RightScreen
4,947.0,411.0,4.0,309.0,0.0,-1.0,RightScreen
5,948.0,411.0,5.0,309.0,1.0,0.0,RightScreen
6,946.0,412.0,6.0,308.0,-2.0,1.0,RightScreen
7,944.0,412.0,7.0,308.0,-2.0,0.0,RightScreen
8,934.0,412.0,8.0,308.0,-10.0,0.0,RightScreen
9,920.0,409.0,9.0,311.0,-14.0,-3.0,RightScreen
10,903.0,408.0,10.0,312.0,-17.0,-1.0,
11,885.0,404.0,11.0,316.0,-18.0,-4.0,
12,866.0,402.0,12.0,318.0,-19.0,-2.0,
13,846.0,399.0,13.0,321.0,-20.0,-3.0,
14,823.0,396.0,14.0,324.0,-23.0,-3.0,
15,802.0,393.0,15.0,327.0,-21.0,-3.0,
16,781.0,390.0,16.0,330.0,-21.0,-3.0,
17,764.0,387.0,17.0,333.0,-17.0,-3.0,
18,746.0,384.0,18.0,336.0,-18.0,-3.0,
19,730.0,382.0,19.0,338.0,-16.0,-2.0,
20,711.0,379.0,20.0,341.0,-19.0,-3.0,
21,698.0,376.0,21.0,344.0,-13.0,-3.0,
22,683.0,374.0,22.0,346.0,-15.0,-2.0,
23,668.0,371.0,23.0,349.0,-15.0,-3.0,
24,653.0,368.0,24.0,352.0,-15.0,-3.0,
25,641.0,367.0,25.0,353.0,-12.0,-1.0,
26,627.0,364.0,26.0,356.0,-14.0,-3.0,
27,615.0,362.0,27.0,358.0,-12.0,-2.0,
28,606.0,360.0,28.0,360.0,-9.0,-2.0,
29,602.0,361.0,29.0,359.0,-4.0,1.0,
30,598.0,361.0,30.0,359.0,-4.0,0.0,
31,593.0,361.0,31.0,359.0,-5.0,0.0,
32,588.0,361.0,32.0,359.0,-5.0,0.0,
33,582.0,361.0,33.0,359.0,-6.0,0.0,
34,570.0,360.0,34.0,360.0,-12.0,-1.0,
35,561.0,360.0,35.0,360.0,-9.0,0.0,
36,551.0,360.0,36.0,360.0,-10.0,0.0,
37,542.0,360.0,37.0,360.0,-9.0,0.0,
38,532.0,359.0,38.0,361.0,-10.0,-1.0,
39,522.0,358.0,39.0,362.0,-10.0,-1.0,
40,513.0,357.0,40.0,363.0,-9.0,-1.0,
41,505.0,357.0,41.0,363.0,-8.0,0.0,
42,496.0,356.0,42.0,364.0,-9.0,-1.0,
43,487.0,355.0,43.0,365.0,-9.0,-1.0,
44,480.0,354.0,44.0,366.0,-7.0,-1.0,
45,474.0,354.0,45.0,366.0,-6.0,0.0,
46,464.0,353.0,46.0,367.0,-10.0,-1.0,
47,461.0,354.0,47.0,366.0,-3.0,1.0,
48,453.0,354.0,48.0,366.0,-8.0,0.0,
49,443.0,354.0,49.0,366.0,-10.0,0.0,
50,433.0,354.0,50.0,366.0,-10.0,0.0,
51,426.0,354.0,51.0,366.0,-7.0,0.0,
52,420.0,355.0,52.0,365.0,-6.0,1.0,
53,407.0,355.0,53.0,365.0,-13.0,0.0,
54,399.0,356.0,54.0,364.0,-8.0,1.0,
55,390.0,356.0,55.0,364.0,-9.0,0.0,
56,381.0,357.0,56.0,363.0,-9.0,1.0,
57,369.0,358.0,57.0,362.0,-12.0,1.0,
58,361.0,358.0,58.0,362.0,-8.0,0.0,
59,348.0,359.0,59.0,361.0,-13.0,1.0,LeftScreen
60,337.0,360.0,60.0,360.0,-11.0,1.0,LeftScreen
61,332.0,360.0,61.0,360.0,-5.0,0.0,LeftScreen
62,324.0,361.0,62.0,359.0,-8.0,1.0,LeftScreen
63,316.0,362.0,63.0,358.0,-8.0,1.0,LeftScreen
64,307.0,362.0,64.0,358.0,-9.0,0.0,LeftScreen
65,299.0,363.0,65.0,357.0,-8.0,1.0,LeftScreen
66,290.0,363.0,66.0,357.0,-9.0,0.0,LeftScreen
67,283.0,364.0,67.0,356.0,-7.0,1.0,LeftScreen
68,278.0,366.0,68.0,354.0,-5.0,2.0,LeftScreen
69,271.0,367.0,69.0,353.0,-7.0,1.0,LeftScreen
70,262.0,370.0,70.0,350.0,-9.0,3.0,LeftScreen
71,258.0,371.0,71.0,349.0,-4.0,1.0,LeftScreen
72,249.0,373.0,72.0,347.0,-9.0,2.0,LeftScreen
73,244.0,374.0,73.0,346.0,-5.0,1.0,LeftScreen
74,237.0,376.0,74.0,344.0,-7.0,2.0,LeftScreen
75,231.0,378.0,75.0,342.0,-6.0,2.0,LeftScreen
76,226.0,380.0,76.0,340.0,-5.0,2.0,LeftScreen
77,221.0,382.0,77.0,338.0,-5.0,2.0,LeftScreen
78,216.0,384.0,78.0,336.0,-5.0,2.0,LeftScreen
79,209.0,388.0,79.0,332.0,-7.0,4.0,LeftScreen
80,202.0,391.0,80.0,329.0,-7.0,3.0,LeftScreen
